,0.000,0.100,0.200,0.300,0.400,0.500,0.600,0.700,0.800,0.900
SIE,0,0,0,0,0,0,0,0,0,0
BRA,1,1,1,1,1,1,1,1,1,1
FRN,2,2,2,2,2,2,2,2,2,2
LBR,0,0,0,0,0,0,0,0,0,0
BAR,1,1,1,1,1,1,1,1,1,1
BAH,3,3,3,3,3,3,3,3,3,3
CRO,2,2,2,2,2,2,2,2,2,2
TRI,1,1,1,1,1,1,1,1,1,1
CEN,4,4,4,4,4,4,4,4,4,4
AZE,5,5,5,5,5,5,5,5,5,5
LAT,5,5,5,5,5,5,5,5,5,5
BOL,1,1,1,1,1,1,1,1,1,1
UKR,5,5,5,5,5,5,5,5,5,5
NIC,1,1,1,1,1,1,1,1,1,1
EQG,4,4,4,4,4,4,4,4,4,4
GRG,5,5,5,5,5,5,5,5,5,5
FIN,5,5,5,5,5,5,5,5,5,5
MAA,3,3,3,3,3,3,3,3,3,3
SOM,3,3,3,3,3,3,3,3,3,3
YEM,3,3,3,3,3,3,3,3,3,3
GNB,0,0,0,0,0,0,0,0,0,0
BLZ,1,1,1,1,1,1,1,1,1,1
ITA,2,2,2,2,2,2,2,2,2,2
ANG,4,4,4,4,4,4,4,4,4,4
UAE,3,3,3,3,3,3,3,3,3,3
CHL,1,1,1,1,1,1,1,1,1,1
KEN,4,4,4,4,4,4,4,4,4,4
CHA,4,4,4,4,4,4,4,4,4,4
BUL,2,2,2,2,2,2,2,2,2,6
SPN,2,2,2,2,2,2,2,2,2,2
ISR,3,3,3,3,3,3,3,3,3,3
EST,2,2,2,2,2,2,2,2,2,2
TAZ,4,4,4,4,4,4,4,4,4,4
HON,1,1,1,1,1,1,1,1,1,1
NIG,0,0,0,0,0,0,0,0,0,0
TUR,2,2,2,2,2,2,2,2,2,2
DJI,3,3,3,3,3,3,3,3,3,3
GRN,1,1,1,1,1,1,1,1,1,1
TKM,5,5,5,5,5,5,5,5,5,5
MLD,5,5,5,5,5,5,5,5,5,5
ARM,5,5,5,5,5,5,5,5,5,5
KZK,5,5,5,5,5,5,5,5,5,5
JAM,1,1,1,1,1,1,1,1,1,1
ERI,4,4,4,4,4,4,4,4,4,4
PHI,1,1,1,1,1,1,1,1,1,1
CON,4,4,4,4,4,4,4,4,4,4
GUY,1,1,1,1,1,1,1,1,1,1
BEN,0,0,0,0,0,0,0,0,0,0
COS,1,1,1,1,1,1,1,1,1,1
OMA,3,3,3,3,3,3,3,3,3,3
UGA,4,4,4,4,4,4,4,4,4,4
TOG,0,0,0,0,0,0,0,0,0,0
AUL,1,1,1,1,1,1,1,1,1,1
CHN,5,5,5,5,5,5,5,5,5,5
HAI,1,1,1,1,1,1,1,1,1,1
CAN,1,1,1,1,1,1,1,1,1,1
KUW,3,3,3,3,3,3,3,3,3,3
SAU,3,3,3,3,3,3,3,3,3,3
BLR,5,5,5,5,5,5,5,5,5,5
IND,5,5,5,5,5,5,5,5,5,5
QAT,3,3,3,3,3,3,3,3,3,3
NOR,2,2,2,2,2,2,2,2,2,2
YUG,2,2,2,2,2,2,2,2,2,2
ECU,1,1,1,1,1,1,1,1,1,1
DRC,4,4,4,4,4,4,4,4,4,4
RWA,4,4,4,4,4,4,4,4,4,4
CDI,0,0,0,0,0,0,0,0,0,0
BEL,2,2,2,2,2,2,2,2,2,2
CAO,4,4,4,4,4,4,4,4,4,4
PER,1,1,1,1,1,1,1,1,1,1
SUD,3,3,3,3,3,3,3,3,3,3
BHM,1,1,1,1,1,1,1,1,1,1
GMY,2,2,2,2,2,2,2,2,2,2
LIB,3,3,3,3,3,3,3,3,3,3
SKN,1,1,1,1,1,1,1,1,1,1
UZB,5,5,5,5,5,5,5,5,5,5
POL,2,2,2,2,2,2,2,2,2,2
ALB,2,2,2,2,2,2,2,2,2,6
GAM,0,0,0,0,0,0,0,0,0,0
GUA,1,1,1,1,1,1,1,1,1,1
BUI,4,4,4,4,4,4,4,4,4,4
DMA,1,1,1,1,1,1,1,1,1,1
GUI,0,0,0,0,0,0,0,0,0,0
PRK,5,5,5,5,5,5,5,5,5,5
AFG,5,5,5,5,5,5,5,5,5,5
DOM,1,1,1,1,1,1,1,1,1,1
ROM,2,2,2,2,2,2,2,2,2,6
PAN,1,1,1,1,1,1,1,1,1,1
ICE,2,2,2,2,2,2,2,2,2,2
SLU,1,1,1,1,1,1,1,1,1,1
JPN,1,1,1,1,1,1,1,1,1,1
MLI,0,0,0,0,0,0,0,0,0,0
SAL,1,1,1,1,1,1,1,1,1,1
BFO,0,0,0,0,0,0,0,0,0,0
GRC,2,2,2,2,2,2,2,2,2,2
KYR,5,5,5,5,5,5,5,5,5,5
LUX,2,2,2,2,2,2,2,2,2,2
MOR,3,3,3,3,3,3,3,3,3,3
NTH,2,2,2,2,2,2,2,2,2,2
GHA,0,0,0,0,0,0,0,0,0,0
PAR,1,1,1,1,1,1,1,1,1,1
GAB,4,4,4,4,4,4,4,4,4,4
ROK,5,5,5,5,5,5,5,5,5,5
AAB,1,1,1,1,1,1,1,1,1,1
SVG,1,1,1,1,1,1,1,1,1,1
CAP,0,0,0,0,0,0,0,0,0,0
URU,1,1,1,1,1,1,1,1,1,1
SYR,3,3,3,3,3,3,3,3,3,3
ZAM,4,4,4,4,4,4,4,4,4,4
CZR,2,2,2,2,2,2,2,2,2,2
STP,4,4,4,4,4,4,4,4,4,4
SUR,1,1,1,1,1,1,1,1,1,1
VEN,1,1,1,1,1,1,1,1,1,1
IRN,5,5,5,5,5,5,5,5,5,5
ETH,4,4,4,4,4,4,4,4,4,4
PAK,5,5,5,5,5,5,5,5,5,5
COL,1,1,1,1,1,1,1,1,1,1
USA,1,1,1,1,1,1,1,1,1,1
DEN,2,2,2,2,2,2,2,2,2,2
IRQ,3,3,3,3,3,3,3,3,3,3
ALG,3,3,3,3,3,3,3,3,3,3
TAJ,5,5,5,5,5,5,5,5,5,5
HUN,2,2,2,2,2,2,2,2,2,2
UKG,2,2,2,2,2,2,2,2,2,2
MON,5,5,5,5,5,5,5,5,5,5
LIT,5,5,5,5,5,5,5,5,5,5
SEN,0,0,0,0,0,0,0,0,0,0
BOS,2,2,2,2,2,2,2,2,2,2
TUN,3,3,3,3,3,3,3,3,3,3
SLO,5,5,5,5,5,5,5,5,5,5
JOR,3,3,3,3,3,3,3,3,3,3
EGY,3,3,3,3,3,3,3,3,3,3
ARG,1,1,1,1,1,1,1,1,1,1
LEB,3,3,3,3,3,3,3,3,3,3
MEX,1,1,1,1,1,1,1,1,1,1
NIR,0,0,0,0,0,0,0,0,0,0
RUS,5,5,5,5,5,5,5,5,5,5
POR,2,2,2,2,2,2,2,2,2,2
